GDW_ID,Pred annual sediment volume MCM yr⁻¹,SD MCM yr⁻¹,RSR(%)
359,16.4635342,5.634554153,0.012664257
360,3.437884855,0.328329836,0.004379471
361,25.42220244,7.502551982,0.002869323
362,27.60507509,5.122272445,0.001555654
363,7.080114911,2.336757435,0.001596418
364,2.75114748,0.771422046,0.015720843
365,3.545882153,0.490350723,0.003640536
366,27.37006627,3.867999666,0.002428577
367,8.065173702,0.702711274,0.002977397
368,44.16041654,4.100203784,0.005967624
369,8.914977229,1.686847574,0.004108284
370,4.957068909,0.711102887,0.002915923
371,7.198149607,0.808573046,0.003841062
372,6.071807968,0.495814855,0.003842916
373,15.72804484,2.902951899,0.005698567
374,5.11644496,1.093879895,0.002558222
375,3.048020197,0.420581051,0.004482383
376,8.763630772,0.374647201,0.003069573
377,24.68764429,3.64606028,0.003526806
378,3.559885045,0.417866365,0.005476746
379,11.53844287,2.002416145,0.003205123
380,25.66734454,3.160200794,0.003333421
381,14.55827457,4.415118195,0.002581254
382,7.02318418,1.5366226,0.003696413
383,8.68392159,0.477871803,0.005078317
384,33.08928073,6.157263641,0.001195422
385,10.52899705,1.447905386,0.004211599
386,27.82382702,4.365455444,0.003352268
387,7.86206646,1.674354214,0.002456896
388,5.117386115,0.788674259,0.002842992
389,24.14397404,3.696072015,0.003914393
390,30.11953823,4.284241964,0.002214672
391,3.449342009,0.317371155,0.005748903
392,8.464840843,1.034929003,0.002645263
393,5.231785494,1.083895069,0.003353709
394,22.16087833,4.031540382,0.004454448
395,7.182195691,1.004586197,0.003030462
396,3.80776056,1.107932458,0.003005336
397,19.42925887,1.81727862,0.003945027
398,27.38446559,3.68910504,0.002544315
399,15.13229241,1.440511885,0.003005958
400,6.356577904,0.869960498,0.004138397
401,6.326906921,0.490323132,0.003401563
402,9.904804082,2.519408212,0.004327132
403,6.666050564,0.706022264,0.00295481
404,5.095968295,0.673691377,0.001952478
405,3.699613183,0.659563801,0.003217055
406,9.000771658,1.555831737,0.003599445
407,4.43770704,0.813696364,0.003509734
408,19.85520828,4.111521429,0.003718204
409,2.390477189,0.307863417,0.003530986
410,8.692028319,0.564870375,0.002862516
411,9.103701374,2.874107029,0.001897395
412,4.09293204,1.617522645,0.001219586
413,19.0542328,5.963992981,0.001536632
414,4.08926466,1.88086828,0.00138011
415,21.24258841,5.043294988,0.003371839
416,10.05652765,0.919464101,0.004613086
417,6.368026212,2.399149507,0.005513443
418,3.900060829,3.097471708,0.008298002
419,1.444201042,0.299607916,0.005453931
420,1.720228663,0.454403494,0.003440457
421,1.190554864,0.216437926,0.004409462
422,3.538531557,0.522839411,0.01011009
423,3.442179322,0.465779534,0.01242664
424,2.442036871,0.785042657,0.013566872
425,0.378266995,0.090246908,0.016446391
426,3.403484046,1.366360261,0.002836237
427,2.74330956,0.59631526,0.008572842
428,3.410857033,0.800237112,0.006960933
429,1.217400703,0.300290571,0.00553364
430,0.523975995,0.135390634,0.029272402
431,2.555348795,0.23413903,0.006555538
432,8.87593591,1.416042881,0.005028859
433,1.046024826,0.264278139,0.005152832
434,0.343989242,0.055104631,0.005165004
435,1.615252827,0.376019697,0.004170547
436,0.983314004,0.158408582,0.007449349
437,1.718796295,0.448420686,0.003600327
438,1.870566123,0.460964409,0.004433672
439,0.588471246,0.127448467,0.004561793
440,3.436433334,0.37035355,0.004768188
441,4.260238486,0.806294083,0.004171388
442,0.804667098,0.123219017,0.00533953
443,3.398165865,0.781763822,0.005227947
444,1.335028036,0.465384343,0.027469713
445,0.872756338,0.167559664,0.005420847
446,1.073923339,0.313593589,0.003293233
447,4.907771681,0.634958533,0.002841955
448,1.646509991,0.183377501,0.005194038
449,3.913538885,0.24578029,0.004226284
450,0.371162666,0.072889616,0.003600026
451,2.123643017,0.27043705,0.006621899
452,2.452539332,1.886679102,0.006858331
453,3.96056456,0.6263692,0.003949506
454,0.669502951,0.150686549,0.005836992
455,0.264397662,0.05457665,0.00858434
456,2.479433496,0.257926293,0.004466643
457,0.984286316,0.249843169,0.004693783
458,0.589378554,0.141702211,0.005656224
459,2.45377209,0.246267967,0.005007698
460,2.08270668,1.727973542,0.009687008
461,3.776806886,1.628279625,0.004088781
462,0.517681919,0.109507377,0.004034933
463,1.623134397,0.260745291,0.004112324
464,0.929254674,0.137094,0.004174549
465,0.955668987,0.118634467,0.004557315
466,0.515556691,0.09172723,0.004910064
467,2.800748774,0.322381105,0.004828877
468,1.21208011,0.212007949,0.004661847
469,0.938035367,0.829830524,0.024052189
470,5.958008422,0.770180171,0.003677783
471,2.030266788,1.790003216,0.009952288
472,2.466550902,0.472746409,0.003900302
473,1.074692571,0.16650286,0.003907973
474,0.394372358,0.116220686,0.018779636
475,1.562646927,0.271550881,0.003461012
476,0.670523645,0.103047993,0.005606385
477,2.088551493,1.465368205,0.005759932
478,0.285701988,0.062709529,0.009276039
479,2.039120606,1.339570851,0.007987155
480,5.729922177,0.533233565,0.003237244
481,3.082204478,0.263122577,0.002963658
482,2.393856216,0.157890451,0.006102106
483,0.331215447,0.044543046,0.006885976
484,0.041271858,0.036379322,0.005095291
485,1.932788345,0.287832283,0.005489317
486,0.588803219,0.120094353,0.01250113
487,0.48816439,0.114882923,0.003846843
488,0.376304772,0.102606786,0.003851635
489,0.735680465,0.162272694,0.004904536
490,3.378264553,2.021707741,0.004170697
491,6.487938702,2.295239729,0.001763842
492,2.967807247,1.151866374,0.004748492
493,3.011003741,0.445487023,0.002556247
494,0.247948291,0.037045321,0.012981586
495,1.4050315,0.307076724,0.003755765
496,0.500646938,0.112105096,0.003866
497,0.128093324,0.044108337,0.00889537
498,0.207698421,0.033670695,0.008242001
499,0.666409687,0.161436988,0.022213656
500,0.781287031,0.192163925,0.006056489
501,2.992654405,0.544499266,0.003740818
502,0.351246,0.057072969,0.007702763
503,0.981018386,0.131115798,0.004037113
504,0.302591381,0.071295761,0.013271552
505,2.650798318,0.390088456,0.004102768
506,0.421478332,0.103884981,0.003928037
507,2.630592245,1.717212822,0.005331561
508,1.799055421,0.639200661,0.007754549
509,1.203191789,0.154446731,0.005552339
510,1.71958969,1.12588629,0.013268439
511,0.540569842,0.096427593,0.012455526
512,2.503510672,1.507567483,0.004172518
513,1.155380912,0.114856506,0.004295096
514,1.75650468,1.281459515,0.005329201
515,0.603074085,0.084257325,0.004289289
516,0.646768824,0.134621061,0.005174151
517,2.435919678,0.273815731,0.00435608
518,0.492753902,0.079794067,0.00851043
519,2.19536642,0.245713191,0.00423244
520,0.514579971,0.099899839,0.004306109
521,0.873476291,0.13107063,0.002962945
522,2.004668142,0.185933649,0.003719236
523,1.888698978,0.431170152,0.003777398
524,2.224891773,1.186041872,0.013011063
525,0.441617732,0.088058961,0.0071575
526,0.330426426,0.067615944,0.009102656
527,0.482894313,0.066015809,0.005634706
528,1.188051923,0.234447115,0.005801035
529,1.677344765,0.521169984,0.005550446
530,1.812737195,0.18301702,0.004422389
531,0.411087254,0.074046363,0.008406692
532,1.984539973,0.077472108,0.005157328
533,0.139950827,0.041938072,0.009456137
534,2.713393128,0.62938069,0.003434675
535,1.695215173,0.283125125,0.005925254
536,0.429532725,0.101049198,0.00915848
537,0.562984918,0.237911531,0.00737857
538,0.40227802,0.043423099,0.005265419
539,0.61448031,0.121466952,0.004915842
540,2.164553952,0.448183856,0.003501948
541,1.307811344,1.007116439,0.012188363
542,0.158288193,0.037922938,0.011226113
543,0.955187535,0.173999561,0.005168764
544,0.446569791,0.082597263,0.004776147
545,0.484704897,0.057194513,0.005096792
546,0.441022918,0.083120956,0.010161818
547,0.40626841,0.080988962,0.005149156
548,4.450218267,1.046993692,0.002141175
549,9.456067035,0.953262668,0.002210549
550,0.540774717,0.113454688,0.004340086
551,0.482062478,0.033714274,0.007473837
552,0.428444169,0.067855235,0.004505196
553,1.228509417,0.116001967,0.006425258
554,0.388596724,0.070079108,0.007882286
555,0.453579038,0.083614408,0.006031636
556,1.769770548,0.121300047,0.005810146
557,2.340340295,1.667837198,0.00533715
558,2.665831902,0.176478403,0.004271482
559,0.249446946,0.057355053,0.008845636
560,0.251786139,0.046865517,0.010111893
561,0.144909441,0.033135243,0.00905684
562,4.728576727,2.70973862,0.003665563
563,0.24135417,0.03869682,0.006301675
564,0.165690905,0.038076661,0.012745454
565,0.485216434,0.105670036,0.009259856
566,0.705232117,0.138297365,0.005682773
567,0.644799446,0.097603701,0.005174955
568,4.154596655,1.304058311,0.005817133
569,0.229990714,0.040215438,0.00887995
570,0.925846294,0.148763453,0.005560638
571,2.720569513,0.703574592,0.002919379
572,1.211699976,0.288837265,0.003739815
573,0.507504969,0.080055274,0.00439779
574,0.291181714,0.055993442,0.010474162
575,0.580401257,0.144951128,0.013753584
576,0.150577308,0.036423494,0.009590911
577,0.193690781,0.047158032,0.009448331
578,2.19941621,0.272514417,0.004435201
579,2.474877098,0.307668606,0.004754807
580,5.748064014,3.295541115,0.004224964
581,0.773959807,0.165275434,0.005359832
582,1.898642137,0.12849756,0.006692429
583,1.056341477,0.837190635,0.013560224
584,0.6736393,0.080865989,0.004668325
585,0.763032829,0.132752139,0.004428513
586,0.495301976,0.081368566,0.008844678
587,0.45428408,0.095828737,0.005486523
588,0.169596431,0.03395467,0.009167375
589,0.235373306,0.052639646,0.018245993
590,0.592120724,0.11068078,0.004558281
591,1.407863463,0.173174092,0.005540588
592,2.834268865,0.765498008,0.006640742
593,0.643804939,0.23400621,0.012428667
594,1.468266369,0.905474563,0.011966311
595,1.295946095,0.225449543,0.005615018
596,1.379332852,0.822921446,0.016381625
597,0.445715682,0.079038954,0.007294856
598,0.323923201,0.053563951,0.006123312
599,1.711931003,1.093567988,0.011337291
600,0.68658745,0.184923094,0.007705808
601,0.483507635,0.157102134,0.010889812
602,2.190011564,0.420397836,0.005879226
603,0.647861184,0.084914422,0.006009844
604,0.265758694,0.062603067,0.011357209
605,0.314731973,0.063289128,0.008941249
606,3.773236936,0.718124498,0.002740983
607,0.634279955,0.105817908,0.005098713
608,2.242912684,0.975468098,0.024921252
609,0.919236712,0.18984459,0.008472228
610,0.593369817,0.146207495,0.007975401
611,0.802295287,0.532196248,0.01844357
612,0.586845488,0.145349442,0.010350009
613,1.664337065,0.229605393,0.004906654
614,2.928970155,1.134788739,0.009196139
615,2.469585347,0.487158532,0.003599979
616,0.451544543,0.07653839,0.030305003
617,0.854759989,0.2122217,0.003003373
618,0.612451779,0.09877794,0.005458572
619,1.989548663,0.659625575,0.007287724
620,0.242392169,0.064009245,0.013772282
621,0.612282135,0.145010194,0.01672902
622,0.356012854,0.038300277,0.007192179
623,0.40424148,0.062553926,0.007257477
624,1.07172226,0.243624827,0.004920672
625,0.33685704,0.069783772,0.007061992
626,0.361280426,0.087900075,0.009532465
627,1.095474779,0.139404764,0.004012728
628,0.25885911,0.063341118,0.010522728
629,0.64786865,0.173009013,0.009375813
630,0.584743754,0.089631652,0.004742447
631,0.464818523,0.125894882,0.016028225
632,1.095698511,0.204421464,0.004625152
633,1.851560183,0.346474557,0.003889015
634,0.399735752,0.047874926,0.005686142
635,0.308441248,0.071458166,0.02372625
636,5.842964793,2.149260674,0.003335787
637,0.711407514,0.175239123,0.007207776
638,0.8180149,0.166144758,0.005071388
639,0.318151297,0.07643451,0.009384994
640,1.408632403,0.288326665,0.006164693
641,1.354279797,0.224063348,0.008522843
642,0.44542572,0.107412175,0.004805024
643,0.157412435,0.041289535,0.008241489
644,0.587844938,0.110725235,0.004453371
645,3.034283747,1.794779919,0.004598096
646,1.052913674,0.203753495,0.005901982
647,0.635759685,0.109846334,0.004685038
648,0.355157256,0.079977709,0.008747716
649,3.156330111,0.608727006,0.003691816
650,0.677242124,0.125228198,0.00491111
651,1.821736549,0.563499107,0.002442006
652,1.155788229,0.203589041,0.005855057
653,0.185398579,0.057937566,0.012612148
654,0.900788776,0.073532227,0.00635253
655,0.60783455,0.198132082,0.003871558
656,1.283198077,0.319488665,0.005598595
657,0.654339412,0.104707047,0.004494089
658,0.793940986,0.199964236,0.003973679
659,0.31832514,0.053710417,0.007898887
660,0.457915658,0.10690336,0.007314947
661,0.414965951,0.049970681,0.004742468
662,0.402647894,0.062313854,0.016638343
663,0.435511308,0.050593203,0.00615129
664,0.82892568,0.580399777,0.012190084
665,0.340648793,0.113100396,0.014683138
666,0.662018494,0.144247007,0.005304635
667,0.288018047,0.044800653,0.012256087
668,0.884156469,0.323030213,0.005029331
669,3.023445577,0.499049383,0.004951598
670,0.518562368,0.088698625,0.004910628
671,0.501601451,0.160876844,0.033440097
672,3.753429147,0.406209078,0.006675136
673,0.63052905,0.096076775,0.004733702
674,0.251508375,0.06632603,0.013521956
675,1.493442277,0.292834735,0.008900133
676,0.297014646,0.066135158,0.008027423
677,0.337664268,0.083521468,0.019518166
678,0.490365155,0.121122917,0.007190105
679,0.729323706,0.209350142,0.00347297
680,0.305435534,0.087758529,0.011792878
681,1.347968643,0.244830112,0.005463999
682,0.387028825,0.0930739,0.017201281
683,3.266293166,0.82476975,0.0037037
684,0.379998632,0.101962751,0.011209399
685,0.26426351,0.049097628,0.02493052
686,1.061987082,0.331050813,0.004507585
687,0.840806933,0.270696195,0.004032647
688,0.145645937,0.034799802,0.008182356
689,0.453999498,0.07370981,0.005577389
690,0.56019476,0.103229595,0.005225697
691,0.566660008,0.159707199,0.022049028
692,1.565810721,0.545753573,0.008241109
693,0.325723134,0.060463634,0.008617014
694,2.109949455,0.669364191,0.003110643
695,0.270296555,0.057850376,0.011077728
696,1.781249551,0.491788406,0.003413663
697,0.23375878,0.049803319,0.014609924
698,0.585394296,0.117796099,0.005761755
699,4.659839979,0.603431892,0.003148115
700,3.132836857,0.864957799,0.003729124
701,0.519915397,0.162600258,0.005531015
702,1.264972355,0.257917115,0.008547111
703,1.11784534,0.278040941,0.004732622
704,0.980658784,0.2398571,0.005238562
705,0.616420284,0.115889107,0.004963126
706,0.696281533,0.132808195,0.004276914
707,1.094927218,0.397633009,0.002536315
708,0.461866774,0.076590648,0.008412874
709,1.925115546,1.003937847,0.006318069
710,0.612906011,0.112698839,0.005882015
711,5.401173346,1.341771729,0.003195961
712,0.494758157,0.151608531,0.022695328
713,3.14756536,0.379283471,0.006804076
714,0.606180891,0.36826183,0.00982465
715,1.385028085,0.417198907,0.003292199
716,2.829615978,0.360637583,0.004933082
717,0.728570344,0.331300671,0.00620588
718,0.603468848,0.124839253,0.006077229
719,0.28735836,0.039270393,0.007766442
720,2.135055212,1.037951744,0.002192698
721,2.500781528,1.162200014,0.001994562
722,0.465984949,0.065045257,0.007965555
723,0.848793066,0.258092729,0.003690405
724,4.906179836,0.963772797,0.003143778
725,0.509723983,0.091962989,0.004382837
726,0.487015386,0.132065466,0.003792955
727,2.871218339,0.994894438,0.002288188
728,0.33542888,0.087700176,0.004350569
729,0.411895454,0.070812858,0.006675777
730,2.391502983,0.480198165,0.004613239
731,1.79257949,0.291049264,0.004827847
732,1.151222169,0.27683203,0.006202706
733,1.933561705,0.491205636,0.003994137
734,1.9358475,0.50524131,0.003479866
735,0.348404733,0.087579087,0.003959145
736,0.432395677,0.106433013,0.013223109
737,2.988861534,0.861601998,0.004228723
738,0.557378584,0.157852434,0.003477097
739,0.441652556,0.10429764,0.003620103
740,0.810854996,0.170318525,0.015563436
741,0.544295112,0.088407787,0.006129449
742,0.412020851,0.112966126,0.004337062
743,0.873380728,0.229719548,0.003766195
744,0.70796757,0.22408364,0.004348695
745,0.791080992,0.295900866,0.003727997
746,1.24754159,0.257792368,0.005100334
747,2.306643757,0.82057385,0.007056114
748,0.392576371,0.092707391,0.003863941
749,0.511488605,0.165030543,0.01386148
750,0.502763781,0.155272012,0.005592478
751,0.228634208,0.029998623,0.008313971
752,0.320702969,0.055308339,0.005197779
753,0.266957855,0.058583164,0.005481681
754,0.407701707,0.098344975,0.005662524
755,0.333538304,0.051309836,0.007111691
756,1.391137752,0.140526005,0.005492056
757,8.060151426,1.460779628,0.002669314
758,0.625957509,0.127502914,0.006745232
759,1.033564341,0.103842118,0.003923934
760,1.52232734,0.509710059,0.00331734
761,0.505154698,0.04257021,0.007517183
762,0.362928187,0.046369043,0.006412159
763,1.385107981,0.162721932,0.00526657
764,2.852503279,0.476944122,0.004499217
765,0.343568138,0.084495831,0.003964356
766,0.283479684,0.070207832,0.009264042
767,0.515043738,0.200988987,0.002492951
768,0.394735508,0.070443445,0.003916027
769,0.904425237,0.263932352,0.006478691
770,0.574221546,0.089017227,0.006275645
771,2.099768095,0.549656118,0.003656222
772,4.663312992,1.219418278,0.003415346
773,0.398609966,0.072906707,0.004458724
774,0.364759375,0.064067678,0.007194465
775,1.954394987,0.315946391,0.004836414
776,0.12111743,0.036967889,0.007001008
777,0.345521487,0.062922293,0.006434292
778,0.472864818,0.105515293,0.00461782
779,0.488608671,0.084274233,0.021524611
780,0.889300529,0.135499696,0.005015795
781,0.551574962,0.052610744,0.008357196
782,0.668597704,0.152294089,0.006045187
783,0.966751994,0.30553655,0.003085707
784,0.409886747,0.035328118,0.004749557
785,15.84064744,3.779623007,0.003627768
786,2.692495154,0.231176801,0.00401266
787,0.439671016,0.101202517,0.003833226
788,0.459325245,0.098926245,0.003651234
789,1.028358614,0.271544995,0.003762746
790,1.797648027,0.222551109,0.00711658
791,1.567571399,0.304125975,0.00400606
792,0.400489139,0.077843692,0.005696858
793,0.973838557,0.178993098,0.004269349
794,2.236523173,0.418615744,0.008722789
795,0.559510494,0.13011224,0.00586489
796,0.677661825,0.103825816,0.003798553
797,3.322665884,1.44836889,0.002778149
798,1.295352419,0.170676749,0.004446799
799,1.902258136,1.601224046,0.008682146
800,2.196471402,0.386964526,0.005314472
801,1.885050507,0.244225644,0.006289791
802,0.716712209,0.227893783,0.002226506
803,2.215805966,0.399999597,0.004620113
804,1.319672584,0.235583365,0.00587043
805,1.451325682,0.341892302,0.004802534
806,0.916234456,0.260635586,0.006727125
807,0.455084227,0.099534882,0.003773501
808,1.382292133,0.312497236,0.006498296
809,6.011155843,0.634510582,0.005451307
810,0.424383489,0.042807922,0.004529173
811,0.436193226,0.032505805,0.005007959
812,9.11476811,4.268211747,0.00580152
813,0.541853706,0.149021808,0.007157909
814,0.859053858,0.118572998,0.004521336
815,3.707336981,1.037911501,0.001888031
816,3.316507279,0.514307965,0.003592404
