LONG,LAT,C(km3),V2,RSR
-106.414583,48.001098,23.56,1.56137805,0.4792
-95.921996,37.741526,0.3934,0.891354,0.286
79.924831,22.941922,3.92,0.649585956,0.0972
-99.0039,31.838857,0.5528,1.989875719,0.3424
-0.317708,40.767471,0.0525,1.402785172,0.03
-104.766214,42.289933,0.0558,0.142402019,0.9675
-79.133083,39.508121,0.0392,0.506934311,0.3324
4.568706,35.831424,0.0295,0.485414171,1.349
-79.430834,36.852654,0.0088,0.758520222,0.0222
111.429851,39.582239,0.9,0.191671099,2.6026
-107.189253,33.156049,2.9324,1.322922208,0.147
-103.248588,45.9813,0.212,1.809107639,0.858
-2.938821,41.052416,0.0314,1.000848467,0.01
-79.505208,40.713054,0.0056,0.111427484,0.0668
135.811941,34.121154,0.0169,0.474118524,0.6102
-96.469792,33.033002,1.1363,1.604104494,0.1809
-89.150465,37.719633,0.2048,1.020817133,0.4544
-97.370431,31.869948,2.5908,1.247728496,0.0944
-99.673958,32.613851,0.1567,2.458641942,0.233
112.362625,34.924763,12.65,0.542704335,1.0681
3.346875,36.601388,0.021,0.885630366,0.8605
-90.797731,43.690543,0.0029,0.7702467,0.2103
-88.934202,40.660314,0.022,0.615408123,0.4644
-104.252072,32.494288,0.0247,0.297979414,0.5223
105.914583,36.826131,0.0763,1.859130799,0.69
-112.191059,38.322692,0.1688,1.308753653,0.25
-77.007143,39.19374,0.0333,0.567044626,0.2163
-93.566547,31.174682,6.2877,1.013971393,0.232
15.954429,50.716442,0.0168,0.905304458,0.02
-1.799329,41.262811,0.0837,1.272924006,0.01
-4.924866,38.087206,0.2868,1.847647675,0.06
-82.056248,39.539648,0.0332,1.073817184,0.0492
112.180208,34.201824,1.32,1.401331852,0.2
-104.551042,48.786864,0.0082,1.887305444,1.253893553
-0.865245,39.343892,0.0375,0.767629665,0.1864
-118.0426149,34.17642799,0.0001,0.305391706,2.595016193
-0.852083,10.869909,0.0173,0.970030681,0.37
2.776042,35.746919,0.055,0.320401199,0.6259
-80.032311,39.312771,0.4379,0.427439365,0.0309
-111.430527,40.963948,0.0912,0.539008107,0.1
-5.598958,40.664436,0.56,1.028469057,0.068
1.038542,35.344664,0.056,1.527560366,1.0251
-1.965805,37.806525,0.0142,1.084280086,0.0492
-97.860649,33.460267,0.0716,1.42505723,0.1953
-83.804742,9.83817,0.051,0.167499018,2.5
-92.461497,31.129631,0.0471,0.851271619,0.14
18.929931,49.932899,0.1684,0.836576135,0.02
-79.45342,40.455993,0.0168,0.193377022,0.095339565
-117.861998,34.207769,0.0545,0.718781493,1.0174
105.609609,32.519623,2.55,0.52957184,0.0557
-96.469792,33.033002,0.5631,1.129220921,0.180881283
-97.532714,31.023437,1.2505,2.47067452,0.0578
-98.478125,31.973949,0.5341,1.753362038,0.0364
-100.478543,31.386193,0.0524,0.668779467,0.853
104.271418,30.321692,0.2287,1.684745584,0.63
-105.273882,39.210039,0.1076,0.845310268,0.0453
103.758686,25.459036,0.0413,0.658846233,0.08
-94.15052,35.662032,0.0181,0.538262032,0.1429
-1.965805,37.806525,0.0142,1.084280086,0.05
-110.522895,33.176265,1.3235,2.064985417,0.2031
-91.42005,43.6024,0.0015,0.407811351,0.792012408
-122.606267,42.159508,0.0481,0.910706361,0.1995
-4.671874,38.043831,0.1474,1.267792672,0.12
-5.014571,39.377091,1.64,1.165448135,0.2
-79.840152,36.172392,0.0227,0.591695232,0.7878
103.231038,30.190454,0.0208,0.663105659,0.21
111.4676538,33.38427721,0.11,0.464248067,1.78
-98.19971,29.871728,1.393,1.547214518,1.038
-84.293303,35.168026,0.0713,0.167494628,0.0586
-80.781292,41.152031,0.0765,0.905583142,0.0872
-123.180998,39.197467,0.1918,0.963755041,0.162
-84.182292,37.54375,0.0062,0.862959825,0.060930859
-119.171723,45.860356,0.055,1.601487617,0.2342
76.435869,31.411296,9.621,0.645700432,0.2622
